Entry	Entry name	Glycosylation
F4I443	BARD1_ARATH	
Q8RXD3	AIP2_ARATH	
P04778	CB1C_ARATH	
Q9FLD5	ASD_ARATH	
Q9M022	AIRP2_ARATH	
Q9C826	ABA2_ARATH	
A9LNK9	CPSF_ARATH	
Q9LEQ3	CNG18_ARATH	
B9DGY1	AB1K7_ARATH	
Q9S7C9	AHL27_ARATH	
P27450	CST_ARATH	
Q8LF80	CKB21_ARATH	
Q9C942	CSE_ARATH	
Q42572	DNLI1_ARATH	
Q9MAH0	CAPP1_ARATH	
O64883	BGL26_ARATH	
Q39081	CAL_ARATH	
Q9LJL9	CAMK2_ARATH	
O22806	BUBR1_ARATH	
Q9SIV5	C3H19_ARATH	
Q38900	CP19A_ARATH	
Q9SXL4	AHK1_ARATH	
O64817	CSK23_ARATH	
O81445	CNBL1_ARATH	
Q56YJ8	FAMA_ARATH	
P45951	ARP_ARATH	
O81108	ACA2_ARATH	
Q8VZJ1	ATXR5_ARATH	
Q9LKF9	CPSF2_ARATH	
Q9C9K7	AHL29_ARATH	
Q0WUR5	FAB1A_ARATH	
F4JQH3	AMPP1_ARATH	
Q9M001	CDS5_ARATH	
Q9LSE1	CDG1_ARATH	
Q9C9W9	ADO3_ARATH	
O81223	CNBL4_ARATH	
Q9SE83	DRP2A_ARATH	
Q75QN6	DPHS1_ARATH	
Q9ZPF5	ARGI2_ARATH	
Q9S7J7	CB22_ARATH	
O81346	C79B2_ARATH	
Q38873	CDPK7_ARATH	
O04292	ATBH9_ARATH	
Q9LKL2	APRR1_ARATH	
Q949P2	COPDA_ARATH	
Q9FKS4	ATR_ARATH	
Q56X52	AOX4_ARATH	
F4J9M5	CHR12_ARATH	
Q8GWS0	GRXC5_ARATH	
P27521	CA4_ARATH	
Q8RYC8	ARFS_ARATH	
Q9ZQI7	ALD1_ARATH	
Q8VY57	ARL8A_ARATH	
Q9MA55	ACBP4_ARATH	
F4HW51	CHR20_ARATH	
O65718	CNGC2_ARATH	
Q1KPV0	FZL_ARATH	
Q9LH52	FLOR1_ARATH	
Q38869	CDPK4_ARATH	
O22763	BZP10_ARATH	
O22218	ACA4_ARATH	
Q9LW27	C71BF_ARATH	
O64587	ACD11_ARATH	
Q9SA52	CP41B_ARATH	
Q94BT6	ADO1_ARATH	
Q94AX4	DLD_ARATH	
Q9ZSZ8	FIP37_ARATH	
P25696	ENO2_ARATH	
Q3E9C0	CDPKY_ARATH	
Q9FMK7	BT1_ARATH	
Q96242	CP74A_ARATH	
Q9LET1	CAMK7_ARATH	
P25070	CML24_ARATH	
Q9C5X4	ATX1_ARATH	
Q38931	FKB62_ARATH	
Q9FV53	DEF1A_ARATH	
P46668	ATHB6_ARATH	
O81852	AKH2_ARATH	
O82794	AGL24_ARATH	
Q9M8M7	ARGD_ARATH	
O80842	CFTSY_ARATH	
Q9FGW5	CDKG1_ARATH	
Q96329	ACOX4_ARATH	
O81851	BOI_ARATH	
F4JNY0	APE2_ARATH	
Q9LIQ9	BLI_ARATH	
O23304	BLUS1_ARATH	
Q7XJ60	EB1A_ARATH	
Q9LDI3	CIPKO_ARATH	
Q96327	EBP1_ARATH	
Q9S744	CML9_ARATH	
Q9SAR5	AKR2A_ARATH	
O80944	AKRC8_ARATH	
Q8VY26	CCD8_ARATH	
B9DGI8	BZP63_ARATH	
Q9M101	CDPKN_ARATH	
P42744	AXR1_ARATH	
Q8VZ56	AMY1_ARATH	
P48523	CADH4_ARATH	
O65282	CH20_ARATH	
Q84LM4	AARE_ARATH	
P21238	CPNA1_ARATH	
Q8RWE8	GGAP1_ARATH	
Q9SZJ5	GLYM1_ARATH	
O80588	EDE1_ARATH	
Q9M9Y4	DRIP1_ARATH	
Q9FGX2	BZIP1_ARATH	
Q05431	APX1_ARATH	
Q8RWK8	COIL_ARATH	
P46644	AAT3_ARATH	
Q7G193	ALDO1_ARATH	
P92979	APR1_ARATH	
Q9SXJ7	CLPC2_ARATH	
Q94JU3	CSN7_ARATH	
Q8GW43	BIOF_ARATH	
A3KPF2	ANM14_ARATH	
Q9CA67	CHLP_ARATH	
Q9FNB0	CHLH_ARATH	
Q2LAE1	ASHH2_ARATH	
Q84WW2	6PGL3_ARATH	
Q9M077	AUR1_ARATH	
Q9FIU5	CRLK1_ARATH	
O64629	AUR3_ARATH	
Q9LZP9	CP122_ARATH	
P31167	ADT1_ARATH	
Q9C744	AP3D_ARATH	
Q9LNJ9	FKGP_ARATH	
Q94C69	CSP3_ARATH	
Q9XIW0	CIPK7_ARATH	
Q8VZH2	APM1_ARATH	
Q42406	CP18D_ARATH	
O80775	WDR55_ARATH	
Q9C664	TTM2_ARATH	
Q9FGC7	ZEP_ARATH	
Q84TG3	PUB23_ARATH	
Q93VT9	RL101_ARATH	
Q9M2S6	SDIR1_ARATH	
Q39249	VDE_ARATH	
Q9STX2	VEP1_ARATH	
Q8VY10	UBC24_ARATH	
Q9SVY1	ZWIP2_ARATH	
Q9SCU5	WNK5_ARATH	
Q94KD3	VP52A_ARATH	
Q9SZY8	YUC1_ARATH	
Q84JH7	SIRB_ARATH	
F4I2H7	TPX2_ARATH	
Q9SMM5	SWT11_ARATH	
Q9FY94	SWT15_ARATH	
Q9FTA2	TCP21_ARATH	
Q42551	SCE1_ARATH	
Q93VM9	THOC1_ARATH	
A8MS68	PLPD1_ARATH	
P14713	PHYB_ARATH	
F4JUU5	S2P_ARATH	
Q8H0U5	TIC62_ARATH	
O23141	SPE2_ARATH	
Q9LF33	UGDH3_ARATH	
Q9C7W7	UGE4_ARATH	
Q6Q4D0	TONS_ARATH	
Q9FIA0	U76C2_ARATH	
F4JHH5	SC15B_ARATH	
Q9LVI4	TIF6B_ARATH	
Q9LXG0	ZHD8_ARATH	
Q9M9S3	WHY1_ARATH	
F4I3V6	SHW1_ARATH	
Q56YA5	SGAT_ARATH	
Q8SAB7	SPK1_ARATH	
Q9LR44	U75B1_ARATH	
Q8RYD9	TT16_ARATH	
Q9FEN9	SHL_ARATH	
Q0WW55	ZEUS1_ARATH	
O81283	TC159_ARATH	
O48791	SCAB1_ARATH	
Q56WD9	THIK2_ARATH	
P11574	VATB1_ARATH	
Q94K05	TCPQ_ARATH	
F4JVN6	TPPII_ARATH	
Q9SI64	SPE1_ARATH	
Q9LVR1	U72E2_ARATH	
Q9XIJ5	PUB18_ARATH	
Q96301	SPY_ARATH	
Q9LMA8	TI10A_ARATH	
Q9C5V6	TOP6B_ARATH	
Q9C9D0	SOT16_ARATH	
O23654	VATA_ARATH	
Q8S8P5	WRK33_ARATH	
Q9SRH5	VDAC1_ARATH	
Q39238	TSL_ARATH	
Q9LK34	UKL2_ARATH	
Q9M0E5	VPS15_ARATH	
Q949W8	XK2_ARATH	
Q9SYM4	TPS1_ARATH	
Q9SKD9	WRK46_ARATH	
B5X0I6	VIP6_ARATH	
P0DKH5	WRK52_ARATH	
Q93WU8	WRK54_ARATH	
Q8RWZ7	VHAA1_ARATH	
Q39232	SUC1_ARATH	
Q39234	TGA3_ARATH	
Q8VZ10	SOQ1_ARATH	
Q9CAD5	YODA_ARATH	
F4I9J7	Y14_ARATH	
Q9MA75	VIP1_ARATH	
Q93VQ0	VCL1_ARATH	
Q9M336	UPP_ARATH	
P35131	UBC8_ARATH	
Q8L4R0	TGD1_ARATH	
Q9M394	SCKL1_ARATH	
Q94A97	UBC35_ARATH	
Q9SMX3	VDAC3_ARATH	
Q9SB92	WUS_ARATH	
Q39258	VATE1_ARATH	
Q5M731	TPS1L_ARATH	
Q8GUQ8	XDH1_ARATH	
Q7XA86	ZDH11_ARATH	
Q9SIY3	TTM3_ARATH	
F4J8C6	VIP1L_ARATH	
O82245	TSPO_ARATH	
Q8L7G0	ARFA_ARATH	
Q9SU08	AUXI1_ARATH	
Q9FXD6	ARR11_ARATH	
Q38838	AGL14_ARATH	
Q944A7	BSK1_ARATH	
Q9LSF8	C82G1_ARATH	
P43254	COP1_ARATH	
Q7GB25	AB5C_ARATH	
Q9ZUZ2	CAMK3_ARATH	
Q9LS40	ASPG1_ARATH	
Q6EVK6	BRM_ARATH	
Q9STS7	CHL_ARATH	
Q8W4I6	BPG2_ARATH	
P42762	CLPD_ARATH	
Q5XF33	CHLI2_ARATH	
O49434	AAH_ARATH	
F4IH31	CAN2_ARATH	
Q683C9	AUR2_ARATH	
Q9SYG2	ASIL1_ARATH	
Q94IB9	ACER_ARATH	
Q04836	CP31A_ARATH	
Q9M066	C90C1_ARATH	
Q9XIE6	ALA3_ARATH	
O64989	C90B1_ARATH	
Q9SJU4	ALFP1_ARATH	
Q9FJX5	BT4_ARATH	
Q7G191	ALDO4_ARATH	
Q8W4D0	CPY71_ARATH	
Q9C9M7	CDKD2_ARATH	
Q8GWT4	ANM15_ARATH	
Q9FI46	CRL_ARATH	
Q94FB9	AB1D_ARATH	
Q9SF85	ADK1_ARATH	
O80507	CSK2E_ARATH	
Q9FY69	BH143_ARATH	
Q8RXL7	ARL_ARATH	
Q9FIR0	ATL30_ARATH	
P53496	ACT11_ARATH	
P0CJ46	ACT1_ARATH	
Q9SN27	ATL59_ARATH	
Q9LE06	BCAT4_ARATH	
Q9LJL6	ATL62_ARATH	
