Entry	Entry name	Status	Protein names	Gene names
Q0WMJ8	SIPL4_ARATH	reviewed	Signal peptide peptidase-like 4 (AtSPPL4) (EC 3.4.23.-)	SPPL4 At1g01650 T1N6.3
P25697	KPPR_ARATH	reviewed	Phosphoribulokinase, chloroplastic (PRK) (PRKase) (EC 2.7.1.19) (Phosphopentokinase)	At1g32060 T12O21.4
Q56YS5	Q56YS5_ARATH	unreviewed	Dihydropyrimidinase like protein	At5g12200
Q94K57	Q94K57_ARATH	unreviewed	Putative dihydropyrimidinase	At5g12200
Q9FMP3	DPYS_ARATH	reviewed	Dihydropyrimidinase (EC 3.5.2.2) (Dihydropyrimidine amidohydrolase) (Protein PYRIMIDINE 2)	PYD2 At5g12200 MXC9.16
Q84LR6	PPA14_ARATH	reviewed	Probable inactive purple acid phosphatase 14	PAP14 At2g46880 F14M4.29
Q9ZUH7	Q9ZUH7_ARATH	unreviewed	Putative disease resistance protein	At2g24160
Q8LPH0	Q8LPH0_ARATH	unreviewed	Putative disease resistance protein	At2g24160
Q9SFU8	Q9SFU8_ARATH	unreviewed	T1B9.16 protein	T1B9.16
Q8W4D7	Q8W4D7_ARATH	unreviewed	GPI transamidase component PIG-S-like protein	T1B9.16 At3g07180
Q56WE9	Q56WE9_ARATH	unreviewed	Uncharacterized protein At4g31340	At4g31340
Q8GUN1	Q8GUN1_ARATH	unreviewed	AT4G31340 protein (Myosin heavy chain-like protein)	At4g31340 F8F16.160 F8F16_160
O49583	O49583_ARATH	unreviewed	Uncharacterized protein AT4g31340	At4g31340
Q0WPW1	Q0WPW1_ARATH	unreviewed	Uncharacterized protein At5g27710	At5g27710
Q6NM16	Q6NM16_ARATH	unreviewed	At5g27710 (T-box protein)	At5g27710 T1G16.40 T1G16_40
Q0WWU1	Q0WWU1_ARATH	unreviewed	Uncharacterized protein At4g32460	At4g32460
Q8LAR0	Q8LAR0_ARATH	unreviewed	At4g32460	At4g32460 F8B4.160 F8B4_160
